Слово,Частота,Частота(%)
и,65,3,81%
не,33,1,93%
что,30,1,76%
в,25,1,46%
он,21,1,23%
она,19,1,11%
vous,18,1,05%
я,18,1,05%
князь,16,0,94%
de,15,0,88%
как,13,0,76%
с,13,0,76%
вы,13,0,76%
павловна,12,0,70%
je,12,0,70%
ее,12,0,70%
анна,12,0,70%
la,11,0,64%
сказал,11,0,64%
que,11,0,64%
на,11,0,64%
à,9,0,53%
у,9,0,53%
то,8,0,47%
les,7,0,41%
знаете,7,0,41%
et,7,0,41%
сказала,7,0,41%
за,7,0,41%
a,6,0,35%
его,6,0,35%
так,6,0,35%
может,6,0,35%
мне,6,0,35%
меня,6,0,35%
это,6,0,35%
бы,6,0,35%
mon,6,0,35%
ни,6,0,35%
l,5,0,29%
n,5,0,29%
быть,5,0,29%
des,5,0,29%
о,5,0,29%
ce,5,0,29%
ничего,5,0,29%
le,5,0,29%
ne,5,0,29%
но,5,0,29%
хочет,5,0,29%
очень,5,0,29%
pas,4,0,23%
ежели,4,0,23%
только,4,0,23%
est,4,0,23%
tout,4,0,23%
votre,4,0,23%
а,4,0,23%
к,4,0,23%
они,4,0,23%
василий,4,0,23%
plus,4,0,23%
вас,4,0,23%
on,4,0,23%
qu,4,0,23%
si,4,0,23%
нынче,4,0,23%
из,4,0,23%
comme,4,0,23%
будет,4,0,23%
nous,3,0,18%
улыбаясь,3,0,18%
таких,3,0,18%
одна,3,0,18%
d,3,0,18%
при,3,0,18%
верю,3,0,18%
про,3,0,18%
famille,3,0,18%
par,3,0,18%
когда,3,0,18%
вдруг,3,0,18%
этот,3,0,18%
раб,3,0,18%
pauvre,3,0,18%
тоном,3,0,18%
думаю,3,0,18%
руку,3,0,18%
еще,3,0,18%
время,3,0,18%
отец,3,0,18%
toutes,3,0,18%
dites,3,0,18%
une,3,0,18%
лице,3,0,18%
чем,3,0,18%
был,3,0,18%
детей,3,0,18%
императора,3,0,18%
милого,3,0,18%
décidé,3,0,18%
нашего,3,0,18%
того,3,0,18%
свою,3,0,18%
чтобы,3,0,18%
ей,3,0,18%
праздник,3,0,18%
для,3,0,18%
moi,3,0,18%
их,3,0,18%
вот,3,0,18%
все,3,0,18%
отвечал,3,0,18%
людей,2,0,12%
одно,2,0,12%
своею,2,0,12%
7,2,0,12%
лет,2,0,12%
ces,2,0,12%
теперь,2,0,12%
t,2,0,12%
обещали,2,0,12%
шерер,2,0,12%
lise,2,0,12%
monsieur,2,0,12%
помолчал,2,0,12%
impératrice,2,0,12%
часто,2,0,12%
говорил,2,0,12%
через,2,0,12%
