23:37:02.023: Dealer 1: Auto 1 (Body: 1, Motor: 4, Accessory: 2)
23:37:02.792: Dealer 2: Auto 2 (Body: 8, Motor: 9, Accessory: 3)
23:37:03.799: Dealer 3: Auto 3 (Body: 14, Motor: 15, Accessory: 5)
23:37:04.798: Dealer 1: Auto 4 (Body: 19, Motor: 16, Accessory: 6)
23:37:05.806: Dealer 2: Auto 5 (Body: 25, Motor: 23, Accessory: 7)
23:37:06.815: Dealer 3: Auto 6 (Body: 30, Motor: 26, Accessory: 10)
23:37:07.812: Dealer 1: Auto 7 (Body: 35, Motor: 32, Accessory: 11)
23:37:08.816: Dealer 2: Auto 8 (Body: 36, Motor: 40, Accessory: 12)
23:37:09.822: Dealer 3: Auto 9 (Body: 41, Motor: 45, Accessory: 13)
23:37:10.836: Dealer 1: Auto 10 (Body: 46, Motor: 50, Accessory: 17)
23:37:11.838: Dealer 2: Auto 11 (Body: 51, Motor: 54, Accessory: 18)
00:27:42.415: Dealer 1: Auto 1 (Body: 1, Motor: 2, Accessory: 3)
00:27:42.489: Dealer 1: Auto 1 (Body: 1, Motor: 2, Accessory: 3)
00:27:43.393: Dealer 2: Auto 2 (Body: 8, Motor: 9, Accessory: 4)
00:27:43.407: Dealer 2: Auto 2 (Body: 8, Motor: 9, Accessory: 4)
00:27:44.388: Dealer 3: Auto 3 (Body: 15, Motor: 14, Accessory: 5)
00:27:44.406: Dealer 3: Auto 3 (Body: 15, Motor: 14, Accessory: 5)
00:27:45.386: Dealer 1: Auto 4 (Body: 19, Motor: 18, Accessory: 6)
00:27:45.444: Dealer 1: Auto 4 (Body: 19, Motor: 18, Accessory: 6)
00:27:46.391: Dealer 2: Auto 5 (Body: 25, Motor: 21, Accessory: 7)
00:27:46.392: Dealer 2: Auto 5 (Body: 25, Motor: 21, Accessory: 7)
00:27:47.395: Dealer 3: Auto 6 (Body: 30, Motor: 27, Accessory: 10)
00:27:47.423: Dealer 3: Auto 6 (Body: 30, Motor: 27, Accessory: 10)
00:27:48.398: Dealer 1: Auto 7 (Body: 34, Motor: 31, Accessory: 11)
00:27:48.402: Dealer 1: Auto 7 (Body: 34, Motor: 31, Accessory: 11)
00:27:49.401: Dealer 2: Auto 8 (Body: 37, Motor: 38, Accessory: 12)
00:27:49.408: Dealer 2: Auto 8 (Body: 37, Motor: 38, Accessory: 12)
00:27:50.407: Dealer 3: Auto 9 (Body: 44, Motor: 42, Accessory: 13)
00:27:50.423: Dealer 3: Auto 9 (Body: 44, Motor: 42, Accessory: 13)
00:27:51.407: Dealer 1: Auto 10 (Body: 48, Motor: 47, Accessory: 16)
00:27:51.415: Dealer 1: Auto 10 (Body: 48, Motor: 47, Accessory: 16)
00:27:52.408: Dealer 2: Auto 11 (Body: 52, Motor: 51, Accessory: 17)
00:27:52.411: Dealer 2: Auto 11 (Body: 52, Motor: 51, Accessory: 17)
00:27:53.411: Dealer 3: Auto 12 (Body: 57, Motor: 56, Accessory: 20)
00:27:53.417: Dealer 3: Auto 12 (Body: 57, Motor: 56, Accessory: 20)
00:27:54.420: Dealer 1: Auto 13 (Body: 62, Motor: 61, Accessory: 22)
00:27:54.431: Dealer 1: Auto 13 (Body: 62, Motor: 61, Accessory: 22)
